frame_id,block_id,row,col,importance,motion,initial_mode,final_mode,rule_applied,downgraded_by_budget,final_latency_ms
8,r0c2,0,2,0.42,0.26,fast,fast,low_block_use_fast,False,121.0
8,r1c0,1,0,0.26,0.33,fast,fast,low_block_use_fast,False,121.0
8,r1c1,1,1,0.47,0.34,fast,fast,low_block_use_fast,False,121.0
8,r1c2,1,2,0.71,0.43,balanced,balanced,medium_block_use_balanced,False,121.0
8,r2c0,2,0,0.32,0.33,fast,fast,low_block_use_fast,False,121.0
8,r2c1,2,1,0.73,0.51,balanced,balanced,medium_block_use_balanced,False,121.0
8,r2c2,2,2,1.0,0.71,accurate,accurate,important_block_use_accurate,False,121.0
9,r0c0,0,0,0.8,0.56,accurate,accurate,important_block_use_accurate,False,105.0
9,r0c1,0,1,0.55,0.66,balanced,balanced,medium_block_use_balanced,False,105.0
9,r0c2,0,2,0.41,0.29,fast,fast,low_block_use_fast,False,105.0
9,r1c0,1,0,0.54,0.46,balanced,balanced,medium_block_use_balanced,False,105.0
9,r1c1,1,1,0.32,0.42,fast,fast,low_block_use_fast,False,105.0
9,r1c2,1,2,0.01,0.06,skip,skip,unimportant_block_skip,False,105.0
9,r2c0,2,0,0.49,0.19,fast,fast,low_block_use_fast,False,105.0
9,r2c1,2,1,0.18,0.05,skip,skip,unimportant_block_skip,False,105.0
9,r2c2,2,2,0.1,0.08,skip,skip,unimportant_block_skip,False,105.0
10,r0c0,0,0,0.34,0.36,fast,fast,low_block_use_fast,False,113.0
10,r0c1,0,1,0.64,0.66,balanced,balanced,medium_block_use_balanced,False,113.0
10,r0c2,0,2,1.0,0.73,accurate,accurate,important_block_use_accurate,False,113.0
10,r1c0,1,0,0.13,0.17,skip,skip,unimportant_block_skip,False,113.0
10,r1c1,1,1,0.39,0.25,fast,fast,low_block_use_fast,False,113.0
10,r1c2,1,2,0.76,0.64,balanced,balanced,medium_block_use_balanced,False,113.0
10,r2c0,2,0,0.29,0.23,fast,fast,low_block_use_fast,False,113.0
10,r2c1,2,1,0.12,0.07,skip,skip,unimportant_block_skip,False,113.0
10,r2c2,2,2,0.35,0.29,fast,fast,low_block_use_fast,False,113.0
11,r0c0,0,0,0.3,0.34,fast,fast,low_block_use_fast,False,159.0
11,r0c1,0,1,0.55,0.51,balanced,balanced,medium_block_use_balanced,False,159.0
11,r0c2,0,2,0.31,0.31,fast,fast,low_block_use_fast,False,159.0
11,r1c0,1,0,0.75,0.58,balanced,balanced,medium_block_use_balanced,False,159.0
11,r1c1,1,1,0.86,0.84,accurate,accurate,important_block_use_accurate,False,159.0
