frame_id,block_id,row,col,importance,motion,edge,selected_mode,rule_applied,x1,y1,x2,y2
8,r2c1,2,1,0.4713,0.2573,0.563,skip,default_skip,1280,1440,2560,2160
8,r2c2,2,2,0.05,0.0,0.0715,skip,default_skip,2560,1440,3840,2160
9,r0c0,0,0,0.0714,0.1177,0.0515,skip,default_skip,0,0,1280,720
9,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
9,r0c2,0,2,0.0801,0.2671,0.0,skip,default_skip,2560,0,3840,720
9,r1c0,1,0,0.7271,0.7123,0.7334,detect,high_importance_detect,0,720,1280,1440
9,r1c1,1,1,0.9438,0.9572,0.9381,detect,high_importance_detect,1280,720,2560,1440
9,r1c2,1,2,0.2991,0.4563,0.2316,skip,default_skip,2560,720,3840,1440
9,r2c0,2,0,0.0567,0.0083,0.0775,skip,default_skip,0,1440,1280,2160
9,r2c1,2,1,0.5869,0.2814,0.7178,detect,high_importance_detect,1280,1440,2560,2160
9,r2c2,2,2,0.1263,0.0,0.1804,skip,default_skip,2560,1440,3840,2160
10,r0c0,0,0,0.0679,0.1143,0.048,skip,default_skip,0,0,1280,720
10,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
10,r0c2,0,2,0.0783,0.2611,0.0,skip,default_skip,2560,0,3840,720
10,r1c0,1,0,0.7068,0.715,0.7033,detect,high_importance_detect,0,720,1280,1440
10,r1c1,1,1,0.9292,0.9574,0.917,detect,high_importance_detect,1280,720,2560,1440
10,r1c2,1,2,0.3185,0.5255,0.2298,skip,default_skip,2560,720,3840,1440
10,r2c0,2,0,0.0258,0.0053,0.0346,skip,default_skip,0,1440,1280,2160
10,r2c1,2,1,0.5053,0.2682,0.6069,skip,default_skip,1280,1440,2560,2160
10,r2c2,2,2,0.0795,0.0,0.1135,skip,default_skip,2560,1440,3840,2160
11,r0c0,0,0,0.0763,0.1259,0.055,skip,default_skip,0,0,1280,720
11,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
11,r0c2,0,2,0.0774,0.258,0.0,skip,default_skip,2560,0,3840,720
11,r1c0,1,0,0.7383,0.7784,0.7211,detect,high_importance_detect,0,720,1280,1440
11,r1c1,1,1,0.936,0.9334,0.9371,detect,high_importance_detect,1280,720,2560,1440
11,r1c2,1,2,0.3724,0.6162,0.2679,detect,motion_region_detect,2560,720,3840,1440
11,r2c0,2,0,0.0246,0.0018,0.0344,skip,default_skip,0,1440,1280,2160
11,r2c1,2,1,0.5373,0.2795,0.6478,skip,default_skip,1280,1440,2560,2160
11,r2c2,2,2,0.0843,0.0,0.1204,skip,default_skip,2560,1440,3840,2160
12,r0c0,0,0,0.0843,0.1286,0.0653,skip,default_skip,0,0,1280,720
12,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
12,r0c2,0,2,0.0834,0.2779,0.0,skip,default_skip,2560,0,3840,720
12,r1c0,1,0,0.738,0.7914,0.7151,detect,high_importance_detect,0,720,1280,1440
12,r1c1,1,1,0.947,0.9702,0.937,detect,high_importance_detect,1280,720,2560,1440
12,r1c2,1,2,0.406,0.7124,0.2747,detect,motion_region_detect,2560,720,3840,1440
