frame_id,block_id,row,col,importance,motion,edge,selected_mode,rule_applied,x1,y1,x2,y2,feedback_score
7,r2c2,2,2,0.1166,0.3302,0.0251,skip,default_skip,2560,1440,3840,2160,0.0
8,r0c0,0,0,0.02,0.0,0.0285,skip,default_skip,0,0,1280,720,0.0
8,r0c1,0,1,0.3733,0.2791,0.4136,skip,default_skip,1280,0,2560,720,0.0
8,r0c2,0,2,0.5316,0.7809,0.4247,detect,recent_detection_keep_alive,2560,0,3840,720,1.0
8,r1c0,1,0,0.8892,1.0,0.8417,detect,recent_detection_keep_alive,0,720,1280,1440,1.0
8,r1c1,1,1,0.9483,0.8277,1.0,detect,recent_detection_keep_alive,1280,720,2560,1440,1.0
8,r1c2,1,2,0.8087,0.8806,0.7779,detect,recent_detection_keep_alive,2560,720,3840,1440,1.0
8,r2c0,2,0,0.0416,0.1385,0.0,skip,default_skip,0,1440,1280,2160,0.0
8,r2c1,2,1,0.2113,0.2551,0.1925,skip,default_skip,1280,1440,2560,2160,0.0
8,r2c2,2,2,0.1331,0.367,0.0328,skip,default_skip,2560,1440,3840,2160,0.0
9,r0c0,0,0,0.0163,0.0,0.0233,skip,default_skip,0,0,1280,720,0.0
9,r0c1,0,1,0.3722,0.2824,0.4107,skip,default_skip,1280,0,2560,720,0.0
9,r0c2,0,2,0.5443,0.8121,0.4295,detect,recent_detection_keep_alive,2560,0,3840,720,1.0
9,r1c0,1,0,0.889,1.0,0.8414,detect,recent_detection_keep_alive,0,720,1280,1440,1.0
9,r1c1,1,1,0.9493,0.8308,1.0,detect,recent_detection_keep_alive,1280,720,2560,1440,1.0
9,r1c2,1,2,0.8133,0.8953,0.7781,detect,recent_detection_keep_alive,2560,720,3840,1440,1.0
9,r2c0,2,0,0.0348,0.1161,0.0,skip,default_skip,0,1440,1280,2160,0.0
9,r2c1,2,1,0.2074,0.2545,0.1872,skip,default_skip,1280,1440,2560,2160,0.0
9,r2c2,2,2,0.1362,0.3809,0.0313,skip,default_skip,2560,1440,3840,2160,0.0
10,r0c0,0,0,0.0193,0.0,0.0275,skip,default_skip,0,0,1280,720,0.0
10,r0c1,0,1,0.3685,0.2743,0.4089,skip,default_skip,1280,0,2560,720,0.0
10,r0c2,0,2,0.5251,0.7559,0.4262,detect,recent_detection_keep_alive,2560,0,3840,720,1.0
10,r1c0,1,0,0.8875,1.0,0.8393,detect,recent_detection_keep_alive,0,720,1280,1440,1.0
10,r1c1,1,1,0.9478,0.826,1.0,detect,recent_detection_keep_alive,1280,720,2560,1440,1.0
10,r1c2,1,2,0.8013,0.8893,0.7636,detect,recent_detection_keep_alive,2560,720,3840,1440,1.0
10,r2c0,2,0,0.0407,0.1358,0.0,skip,default_skip,0,1440,1280,2160,0.0
10,r2c1,2,1,0.2119,0.2633,0.1898,skip,default_skip,1280,1440,2560,2160,0.0
10,r2c2,2,2,0.1435,0.3981,0.0344,skip,default_skip,2560,1440,3840,2160,0.0
11,r0c0,0,0,0.0198,0.0,0.0283,skip,default_skip,0,0,1280,720,0.0
11,r0c1,0,1,0.3832,0.2898,0.4232,skip,default_skip,1280,0,2560,720,0.0
11,r0c2,0,2,0.5201,0.7615,0.4166,detect,recent_detection_keep_alive,2560,0,3840,720,1.0
11,r1c0,1,0,0.8809,1.0,0.8299,detect,recent_detection_keep_alive,0,720,1280,1440,1.0
11,r1c1,1,1,0.951,0.8366,1.0,detect,recent_detection_keep_alive,1280,720,2560,1440,1.0
11,r1c2,1,2,0.8001,0.8863,0.7632,detect,recent_detection_keep_alive,2560,720,3840,1440,1.0
11,r2c0,2,0,0.043,0.1434,0.0,skip,default_skip,0,1440,1280,2160,0.0
11,r2c1,2,1,0.2153,0.2767,0.189,skip,default_skip,1280,1440,2560,2160,0.0
11,r2c2,2,2,0.1497,0.4231,0.0326,skip,default_skip,2560,1440,3840,2160,0.0
12,r0c0,0,0,0.0183,0.0,0.0261,skip,default_skip,0,0,1280,720,0.0
12,r0c1,0,1,0.3886,0.2986,0.4272,skip,default_skip,1280,0,2560,720,0.0
12,r0c2,0,2,0.5239,0.7817,0.4134,detect,recent_detection_keep_alive,2560,0,3840,720,1.0
12,r1c0,1,0,0.8787,1.0,0.8267,detect,recent_detection_keep_alive,0,720,1280,1440,1.0
12,r1c1,1,1,0.952,0.8399,1.0,detect,recent_detection_keep_alive,1280,720,2560,1440,1.0
12,r1c2,1,2,0.8027,0.8887,0.7659,detect,recent_detection_keep_alive,2560,720,3840,1440,1.0
12,r2c0,2,0,0.0361,0.1202,0.0,skip,default_skip,0,1440,1280,2160,0.0
12,r2c1,2,1,0.2122,0.2526,0.1949,skip,default_skip,1280,1440,2560,2160,0.0
12,r2c2,2,2,0.1467,0.4049,0.0361,skip,default_skip,2560,1440,3840,2160,0.0
