frame_id,block_id,row,col,importance,motion,edge,selected_mode,rule_applied,x1,y1,x2,y2,feedback_score
8,r0c1,0,1,0.0125,0.0417,0.0,skip,default_skip,1280,0,2560,720,0.0
8,r0c2,0,2,0.0881,0.0733,0.0944,skip,default_skip,2560,0,3840,720,0.0
8,r1c0,1,0,0.6052,1.0,0.436,detect,recent_detection_keep_alive,0,720,1280,1440,1.0
8,r1c1,1,1,0.8917,0.6389,1.0,detect,recent_detection_keep_alive,1280,720,2560,1440,1.0
8,r1c2,1,2,0.5493,0.5505,0.5488,skip,default_skip,2560,720,3840,1440,0.0
8,r2c0,2,0,0.3427,0.6222,0.2229,skip,default_skip,0,1440,1280,2160,0.0
8,r2c1,2,1,0.0786,0.0,0.1123,skip,default_skip,1280,1440,2560,2160,0.0
8,r2c2,2,2,0.0785,0.0741,0.0804,skip,default_skip,2560,1440,3840,2160,0.0
9,r0c0,0,0,0.0468,0.0639,0.0395,skip,default_skip,0,0,1280,720,0.0
9,r0c1,0,1,0.0078,0.0261,0.0,skip,default_skip,1280,0,2560,720,0.0
9,r0c2,0,2,0.0764,0.05,0.0877,skip,default_skip,2560,0,3840,720,0.0
9,r1c0,1,0,0.6144,1.0,0.4491,detect,recent_detection_keep_alive,0,720,1280,1440,0.7
9,r1c1,1,1,0.9093,0.6978,1.0,detect,recent_detection_keep_alive,1280,720,2560,1440,1.0
9,r1c2,1,2,0.5665,0.5848,0.5586,skip,default_skip,2560,720,3840,1440,0.0
9,r2c0,2,0,0.3672,0.6741,0.2357,skip,default_skip,0,1440,1280,2160,0.0
9,r2c1,2,1,0.0748,0.0,0.1069,skip,default_skip,1280,1440,2560,2160,0.0
9,r2c2,2,2,0.0732,0.0558,0.0807,skip,default_skip,2560,1440,3840,2160,0.0
10,r0c0,0,0,0.0448,0.0384,0.0476,skip,default_skip,0,0,1280,720,0.0
10,r0c1,0,1,0.0029,0.0098,0.0,skip,default_skip,1280,0,2560,720,0.0
10,r0c2,0,2,0.0692,0.0184,0.091,skip,default_skip,2560,0,3840,720,0.0
10,r1c0,1,0,0.6046,1.0,0.4352,detect,recent_detection_keep_alive,0,720,1280,1440,0.49
10,r1c1,1,1,0.9013,0.6709,1.0,detect,recent_detection_keep_alive,1280,720,2560,1440,1.0
10,r1c2,1,2,0.5861,0.5995,0.5803,skip,default_skip,2560,720,3840,1440,0.0
10,r2c0,2,0,0.3418,0.5989,0.2316,skip,default_skip,0,1440,1280,2160,0.0
10,r2c1,2,1,0.0775,0.0,0.1108,skip,default_skip,1280,1440,2560,2160,0.0
10,r2c2,2,2,0.0611,0.0326,0.0734,skip,default_skip,2560,1440,3840,2160,0.0
11,r0c0,0,0,0.0552,0.0769,0.046,skip,default_skip,0,0,1280,720,0.0
11,r0c1,0,1,0.013,0.0433,0.0,skip,default_skip,1280,0,2560,720,0.0
11,r0c2,0,2,0.0744,0.0524,0.0839,skip,default_skip,2560,0,3840,720,0.0
11,r1c0,1,0,0.635,1.0,0.4786,detect,motion_region_detect,0,720,1280,1440,0.343
11,r1c1,1,1,0.9042,0.6806,1.0,detect,recent_detection_keep_alive,1280,720,2560,1440,1.0
11,r1c2,1,2,0.6132,0.6235,0.6087,detect,motion_region_detect,2560,720,3840,1440,0.0
11,r2c0,2,0,0.3368,0.5715,0.2362,skip,default_skip,0,1440,1280,2160,0.0
11,r2c1,2,1,0.0722,0.0,0.1031,skip,default_skip,1280,1440,2560,2160,0.0
11,r2c2,2,2,0.0686,0.073,0.0667,skip,default_skip,2560,1440,3840,2160,0.0
12,r0c0,0,0,0.0602,0.0902,0.0474,skip,default_skip,0,0,1280,720,0.0
12,r0c1,0,1,0.0228,0.0761,0.0,skip,default_skip,1280,0,2560,720,0.0
12,r0c2,0,2,0.0812,0.0739,0.0843,skip,default_skip,2560,0,3840,720,0.0
12,r1c0,1,0,0.6194,1.0,0.4563,detect,motion_region_detect,0,720,1280,1440,0.2401
12,r1c1,1,1,0.9027,0.6755,1.0,detect,recent_detection_keep_alive,1280,720,2560,1440,1.0
12,r1c2,1,2,0.6104,0.6354,0.5997,detect,recent_detection_keep_alive,2560,720,3840,1440,1.0
12,r2c0,2,0,0.3204,0.5473,0.2232,skip,default_skip,0,1440,1280,2160,0.0
12,r2c1,2,1,0.0742,0.0,0.106,skip,default_skip,1280,1440,2560,2160,0.0
12,r2c2,2,2,0.0711,0.0598,0.076,skip,default_skip,2560,1440,3840,2160,0.0
13,r0c0,0,0,0.0589,0.095,0.0434,skip,default_skip,0,0,1280,720,0.0
13,r0c1,0,1,0.0212,0.0708,0.0,skip,default_skip,1280,0,2560,720,0.0
13,r0c2,0,2,0.0783,0.0715,0.0812,skip,default_skip,2560,0,3840,720,0.0
13,r1c0,1,0,0.6415,1.0,0.4878,detect,motion_region_detect,0,720,1280,1440,0.1681
13,r1c1,1,1,0.9165,0.7217,1.0,detect,recent_detection_keep_alive,1280,720,2560,1440,1.0
13,r1c2,1,2,0.6403,0.6821,0.6224,detect,recent_detection_keep_alive,2560,720,3840,1440,1.0
13,r2c0,2,0,0.3257,0.5629,0.2241,skip,default_skip,0,1440,1280,2160,0.0
13,r2c1,2,1,0.065,0.0,0.0929,skip,default_skip,1280,1440,2560,2160,0.0
13,r2c2,2,2,0.0847,0.0933,0.0809,skip,default_skip,2560,1440,3840,2160,0.0
14,r0c0,0,0,0.0639,0.1174,0.0409,skip,default_skip,0,0,1280,720,0.0
14,r0c1,0,1,0.0305,0.1017,0.0,skip,default_skip,1280,0,2560,720,0.0
14,r0c2,0,2,0.0878,0.0921,0.0859,skip,default_skip,2560,0,3840,720,0.0
14,r1c0,1,0,0.6234,1.0,0.462,detect,motion_region_detect,0,720,1280,1440,0.1176
14,r1c1,1,1,0.9172,0.7241,1.0,detect,recent_detection_keep_alive,1280,720,2560,1440,1.0
14,r1c2,1,2,0.6542,0.7206,0.6257,detect,recent_detection_keep_alive,2560,720,3840,1440,1.0
14,r2c0,2,0,0.3164,0.5535,0.2148,skip,default_skip,0,1440,1280,2160,0.0
14,r2c1,2,1,0.0626,0.0,0.0895,skip,default_skip,1280,1440,2560,2160,0.0
14,r2c2,2,2,0.0718,0.0786,0.0689,skip,default_skip,2560,1440,3840,2160,0.0
15,r0c0,0,0,0.0799,0.1435,0.0526,skip,default_skip,0,0,1280,720,0.0
15,r0c1,0,1,0.0306,0.1021,0.0,skip,default_skip,1280,0,2560,720,0.0
15,r0c2,0,2,0.111,0.1329,0.1016,skip,default_skip,2560,0,3840,720,0.0
15,r1c0,1,0,0.6224,1.0,0.4606,detect,motion_region_detect,0,720,1280,1440,0.0824
15,r1c1,1,1,0.9662,0.8872,1.0,detect,recent_detection_keep_alive,1280,720,2560,1440,1.0
15,r1c2,1,2,0.7284,0.9089,0.651,detect,recent_detection_keep_alive,2560,720,3840,1440,1.0
15,r2c0,2,0,0.3571,0.6771,0.2199,skip,default_skip,0,1440,1280,2160,0.0
15,r2c1,2,1,0.0689,0.0,0.0984,skip,default_skip,1280,1440,2560,2160,0.0
15,r2c2,2,2,0.0844,0.1149,0.0713,skip,default_skip,2560,1440,3840,2160,0.0
16,r0c0,0,0,0.0914,0.1504,0.0662,skip,default_skip,0,0,1280,720,0.0
16,r0c1,0,1,0.0261,0.0869,0.0,skip,default_skip,1280,0,2560,720,0.0
