frame_id,strategy,block_id,class_id,confidence,x1,y1,x2,y2
6,uniform_tiled_all_blocks,r2c0,2,0.3527,6.38,1444.18,1273.64,2155.53
6,uniform_tiled_all_blocks,r2c1,2,0.3035,1286.89,1557.80,2556.27,2142.16
6,uniform_tiled_all_blocks,r2c2,4,0.4629,2563.81,1648.87,3833.72,2143.04
6,spatial_dsl_selected_blocks_320,r1c0,2,0.8223,0.55,736.34,273.36,889.22
6,spatial_dsl_selected_blocks_320,r1c1,7,0.6155,2129.20,988.60,2540.69,1263.45
6,spatial_dsl_selected_blocks_320,r1c1,2,0.5623,1957.93,1037.71,2034.17,1089.39
6,spatial_dsl_selected_blocks_320,r1c1,2,0.3692,1929.48,1031.90,2013.96,1086.10
7,full_frame_reference,full,2,0.6556,0.84,737.19,163.62,883.32
7,full_frame_reference,full,7,0.5748,2136.77,988.87,2559.28,1268.39
7,uniform_tiled_all_blocks,r1c0,2,0.7528,0.51,737.89,162.15,885.41
7,uniform_tiled_all_blocks,r1c1,7,0.6796,2132.70,987.58,2546.45,1264.87
7,uniform_tiled_all_blocks,r1c1,2,0.5407,1952.57,1034.58,2038.36,1091.51
7,uniform_tiled_all_blocks,r1c1,2,0.3850,1929.79,1030.87,2035.87,1088.83
7,uniform_tiled_all_blocks,r2c0,2,0.3581,9.99,1444.48,1273.53,2137.13
7,uniform_tiled_all_blocks,r2c2,4,0.4099,2563.74,1649.90,3831.93,2140.65
7,spatial_dsl_selected_blocks_320,r1c0,2,0.7527,0.51,737.90,162.15,885.39
7,spatial_dsl_selected_blocks_320,r1c1,7,0.6793,2132.71,987.57,2546.45,1264.87
7,spatial_dsl_selected_blocks_320,r1c1,2,0.5410,1952.60,1034.57,2038.36,1091.52
7,spatial_dsl_selected_blocks_320,r1c1,2,0.3849,1929.79,1030.87,2035.88,1088.83
8,full_frame_reference,full,7,0.6553,2140.25,979.77,2565.38,1269.67
8,full_frame_reference,full,2,0.3126,12.75,1542.85,3835.24,2140.33
8,uniform_tiled_all_blocks,r1c1,7,0.6558,2137.96,986.53,2557.41,1270.71
8,uniform_tiled_all_blocks,r1c1,2,0.5290,1960.54,1034.92,2038.94,1091.46
8,uniform_tiled_all_blocks,r1c1,2,0.3701,1929.18,1030.83,2015.31,1088.63
8,uniform_tiled_all_blocks,r1c1,2,0.3058,2139.40,984.61,2553.69,1268.32
8,uniform_tiled_all_blocks,r2c0,2,0.3019,5.37,1445.88,1273.07,2158.38
8,uniform_tiled_all_blocks,r2c2,4,0.4085,2563.58,1610.70,3831.55,2143.45
8,spatial_dsl_selected_blocks_320,r1c1,7,0.6551,2137.95,986.54,2557.41,1270.70
8,spatial_dsl_selected_blocks_320,r1c1,2,0.5290,1960.55,1034.92,2038.94,1091.46
8,spatial_dsl_selected_blocks_320,r1c1,2,0.3698,1929.19,1030.83,2015.15,1088.62
8,spatial_dsl_selected_blocks_320,r1c1,2,0.3062,2139.41,984.61,2553.68,1268.31
9,full_frame_reference,full,7,0.7246,2140.11,965.46,2575.10,1277.23
9,full_frame_reference,full,2,0.4005,1944.95,1035.93,2052.89,1096.33
9,full_frame_reference,full,2,0.3476,41.83,1549.08,3819.75,2138.37
9,uniform_tiled_all_blocks,r1c1,7,0.6444,2140.18,990.07,2558.49,1274.67
9,uniform_tiled_all_blocks,r1c1,2,0.5821,1958.76,1036.56,2042.31,1094.67
9,uniform_tiled_all_blocks,r1c1,2,0.4597,2139.81,989.49,2560.00,1272.30
9,uniform_tiled_all_blocks,r1c1,2,0.4105,1930.31,1032.16,2034.39,1089.05
9,uniform_tiled_all_blocks,r1c1,2,0.2544,2035.73,1015.02,2152.85,1093.31
9,uniform_tiled_all_blocks,r2c2,4,0.4188,2563.68,1601.16,3833.06,2145.23
9,spatial_dsl_selected_blocks_320,r1c1,7,0.6442,2140.19,990.07,2558.49,1274.66
9,spatial_dsl_selected_blocks_320,r1c1,2,0.5816,1958.72,1036.55,2042.31,1094.67
9,spatial_dsl_selected_blocks_320,r1c1,2,0.4603,2139.81,989.50,2560.00,1272.30
9,spatial_dsl_selected_blocks_320,r1c1,2,0.4100,1930.31,1032.16,2034.32,1089.04
9,spatial_dsl_selected_blocks_320,r1c1,2,0.2546,2035.74,1015.00,2152.88,1093.31
10,full_frame_reference,full,7,0.6604,2142.13,980.65,2589.56,1279.29
10,full_frame_reference,full,2,0.4117,1948.02,1037.86,2051.28,1097.27
10,full_frame_reference,full,2,0.3349,10.84,1543.52,3825.41,2137.95
10,uniform_tiled_all_blocks,r1c1,7,0.6824,2141.91,991.10,2558.23,1279.93
10,uniform_tiled_all_blocks,r1c1,2,0.5257,1938.47,1033.27,2044.55,1095.26
10,uniform_tiled_all_blocks,r1c1,2,0.3639,2141.60,988.82,2560.00,1276.87
10,uniform_tiled_all_blocks,r2c2,4,0.6130,2563.25,1599.48,3832.06,2145.10
10,spatial_dsl_selected_blocks_320,r1c1,7,0.6829,2141.92,991.10,2558.24,1279.94
10,spatial_dsl_selected_blocks_320,r1c1,2,0.5257,1938.37,1033.25,2044.56,1095.27
10,spatial_dsl_selected_blocks_320,r1c1,2,0.3636,2141.61,988.82,2560.00,1276.88
11,full_frame_reference,full,7,0.6756,2145.23,985.50,2603.66,1283.74
11,full_frame_reference,full,2,0.3763,1944.45,1036.56,2046.56,1096.16
11,full_frame_reference,full,2,0.3425,39.78,1537.65,3822.27,2132.57
11,uniform_tiled_all_blocks,r1c1,7,0.7713,2143.74,987.10,2559.58,1285.04
11,uniform_tiled_all_blocks,r1c1,2,0.4713,1946.74,1034.70,2044.66,1097.27
11,uniform_tiled_all_blocks,r1c1,2,0.4497,1930.49,1030.85,2037.59,1090.99
11,uniform_tiled_all_blocks,r1c1,2,0.3638,2144.41,986.71,2559.78,1283.15
11,uniform_tiled_all_blocks,r1c2,5,0.2747,2560.54,1028.76,2601.16,1242.48
11,uniform_tiled_all_blocks,r2c1,2,0.2712,1288.43,1556.94,2555.86,2143.54
11,uniform_tiled_all_blocks,r2c2,4,0.5728,2563.85,1601.48,3835.20,2145.02
11,spatial_dsl_selected_blocks_320,r1c1,7,0.7709,2143.75,987.10,2559.58,1285.03
11,spatial_dsl_selected_blocks_320,r1c1,2,0.4713,1946.66,1034.68,2044.65,1097.28
11,spatial_dsl_selected_blocks_320,r1c1,2,0.4496,1930.50,1030.85,2037.60,1090.99
11,spatial_dsl_selected_blocks_320,r1c1,2,0.3640,2144.40,986.71,2559.78,1283.15
